NO DE PLACA;MARCA;ANO MODELO;LINEA;CLASE DE VEHICULO;TIPO DE CARROCERIA;COMBUSTIBLE;MODALIDAD DE SERVICIO;CAPACIDAD DE PASAJEROS SENTADOS;EMPRESA
TSE770;DAIHATSU;2008;DLTA V128LD;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;COOTRANSPEVER
SMA633;JAC;2006;HK6603B;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;COOTRANSPEVER
SKP107;KIA;2010;PREGIO;CAMIONETA;CERRADA;DIESEL;COLECTIVO;8;COOTRANSPEVER
TKH885;DAIHATSU;2007;DELTA V128LD-;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;COOTRANSPEVER
TMW717;NISSAN;2007;URVAN;CAMIONETA;STATION WAGON;DIESEL;COLECTIVO;8;COOTRANSPEVER
SMA143;KIA;2001;PREGIO;MICROBUS;CERRADA;DIESEL;COLECTIVO;16;COOTRANSPEVER
TRF761;DAIHATSU;2008;DELTA V126L-HUT;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;COOTRANSPEVER
SMA632;JAC;2006;HFC1040K2;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;COOTRANSPEVER
USD622;MITSUBISHI;2008;CANTER;MICROBUS;CERRADA;DIESEL;COLECTIVO;20;COOTRANSPEVER
SMA929;CHEVROLET;2007;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;COOTRANSPEVER
SMB107;NISSAN;2007;URVAN;CAMIONETA;STATION WAGON;DIESEL;COLECTIVO;8;COOTRANSPEVER
SMA094;KIA;2001;PREGIO;CAMIONETA;WAGON;DIESEL;COLECTIVO;9;COOTRANSPEVER
YAP882;KIA;2001;GRAND;CAMIONETA;VAN;DIESEL;COLECTIVO;9;COOTRANSPEVER
SMB534;NISSAN;2009;URVAN;CAMIONETA;STATION WAGON;DIESEL;COLECTIVO;8;COOTRANSPEVER
UZN147;NISSAN;2006;URVAN;CAMIONETA;CERRADA;DIESEL;COLECTIVO;8;COOTRANSPEVER
SMB793;KIA;2011;PREGIO;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;COOTRANSPEVER
SNO812;NISSAN;2008;URVAN;CAMIONETA;STATION WAGON;DIESEL;COLECTIVO;8;COOTRANSPEVER
SSH615;CHEVROLET;2004;NKR 55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;COOTRANSPEVER
SQZ268;NISSAN;2012;URVAN;CAMIONETA;WAGON;DIESEL;COLECTIVO;8;TIERRA GRATA
THV481;CHEVROLET;2015;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THW265;CHEVROLET;2019;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SPE192;DFSK;2014;EQ6390PF22Q;CAMIONETA;VAN;GASOLINA;COLECTIVO;7;TIERRA GRATA
SRF222;VOLKSWAGEN;2003;LT 35;MICROBUS;CERRADA;DIESEL;COLECTIVO;17;TIERRA GRATA
SNA900;NISSAN;2006;CABSTAR;MICROBUS;CERRADA;DIESEL;COLECTIVO;16;TIERRA GRATA
UFU118;CHEVROLET;2005;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THV642;CHEVROLET;2016;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THU739;CHEVROLET;2013;N300;CAMIONETA;VAN;GASOLINA;COLECTIVO;8;TIERRA GRATA
SWK897;CHEVROLET;2006;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THV948;TL;2015;TL67;MICROBUS;CERRADA;GNV;COLECTIVO;19;TIERRA GRATA
SMB916;NISSAN;2009;TK55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SYT181;CHEVROLET;2005;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SMB625;CHANA;2009;VAN SC 63390;CAMIONETA;VAN;GASOLINA;COLECTIVO;8;TIERRA GRATA
SQZ297;NISSAN;2011;TK55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THV598;DFSK;2016;EQ6450PF1 1.4;CAMIONETA;VAN;GASOLINA;COLECTIVO;6;TIERRA GRATA
THV233;CHEVROLET;2015;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SMB684;CHANA;2010;STAR;CAMIONETA;VAN;GASOLINA;COLECTIVO;8;TIERRA GRATA
TKI394;NISSAN;2008;URVAN A HZ GL;CAMIONETA;STATION WAGON;DIESEL;COLECTIVO;8;TIERRA GRATA
SMA556;NISSAN;2006;URVAN;CAMIONETA;STATION WAGON;DIESEL;COLECTIVO;8;TIERRA GRATA
SMA105;KIA;2002;COMBI;BUSETA;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
UFV051;NISSAN;2006;URVAN;CAMIONETA;WAGON;DIESEL;COLECTIVO;8;TIERRA GRATA
THV920;CHEVROLET;2017;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
STQ255;CHEVROLET;2014;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SMA642;MERCEDES BENZ;2006;SPRINTER 413 CDI;MICROBUS;CERRADA;DIESEL;COLECTIVO;17;TIERRA GRATA
SKM018;NON PLUS ULTRA;2005;TS-E-III;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SOP931;NON PLUS ULTRA;2009;NPU 6-150;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THU976;CHEVROLET;2014;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THU617;CHEVROLET;2012;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
UFF865;CHEVROLET;2003;NKR MWB;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SMB369;NISSAN;2006;CABSTAR TL 1.34;MICROBUS;CERRADA;DIESEL;COLECTIVO;16;TIERRA GRATA
SWK504;CHEVROLET;2007;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SMA155;KIA;2002;COMBI;BUSETA;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THU835;CHEVROLET;2013;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THU701;CHEVROLET;2013;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SYT204;CHEVROLET;2005;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SMB772;NISSAN;2009;TK 55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SQZ261;NISSAN;2010;TK 55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SSI081;CHEVROLET;2008;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
SMA064;NISSAN;2001;TRADE 100;MICROBUS;CERRADA;DIESEL;COLECTIVO;16;TIERRA GRATA
VIK458;CHEVROLET;2005;NPR;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
YAP947;KIA;2002;PREGIO;CAMIONETA;VAN;DIESEL;COLECTIVO;9;TIERRA GRATA
SMB908;JINBEI;2011;SY6483Q316;CAMIONETA;VAN;DIESEL;COLECTIVO;9;TIERRA GRATA
TJA158;CHEVROLET;2002;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;16;TIERRA GRATA
THU853;DFM;2013;EQ6400LF;CAMIONETA;VAN;GASOLINA;COLECTIVO;9;TIERRA GRATA
SQZ269;NISSAN;2012;URVAN;CAMIONETA;WAGON;DIESEL;COLECTIVO;8;TIERRA GRATA
SMA817;NISSAN;2007;URVAN;CAMIONETA;CERRADA;DIESEL;COLECTIVO;8;TIERRA GRATA
SPE194;DFSK;2014;EQ6390PF22Q;CAMIONETA;VAN;GASOLINA;COLECTIVO;7;TIERRA GRATA
SMA139;KIA;2003;COMBI;BUSETA;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
THV168;DFM;2014;EQ6400LF;CAMIONETA;VAN;GASOLINA;COLECTIVO;8;TIERRA GRATA
SMA280;KIA;2004;PREGIO;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
WDB016;CHEVROLET;2005;NKR 55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;TIERRA GRATA
TGM406;MITSUBISHI;2003;L 300;CAMIONETA;WAGON;DIESEL;COLECTIVO;8;TIERRA GRATA
TXA157;KIA;2005;PREGIO;MICROBUS;CERRADA;DIESEL;COLECTIVO;16;TIERRA GRATA
